Song,Moods,Styles,Vocals,Speaker,Skills,Timbres,Score,Split
MT0008363189,"Amiable/Good-Natured, Elegant, Exuberant, Fun, Gleeful, Happy, Joyous, Organic, Passionate, Playful, Sensual, Sophisticated, Stylish","Retro-Soul, Smooth Soul, Soul",F4-BlankSpace-Pop-抒情29.wav,F4,"chest voice, straight-tone","warm, clear, gentle",0.315,train
MT0008352590,"Aggressive,Boisterous,Brash,Bravado,Celebratory,Confident,Confrontational,Druggy,Hostile,Malevolent,Menacing,Nihilistic,Rambunctious,Raucous,Rebellious,Reckless,Rousing,Rowdy,Street-Smart,Stylish,Thuggish,Visceral,Witty","G-Funk,Gangsta Rap,West Coast Rap",Alto-1_Mixed_Voice_and_Falsetto_yesterday_once_more_Mixed_Voice_Group_0014.wav,Alto-1,"vibrato, legato","warm, gentle, soft",0.175,train
MT0000850957,"Anguished/Distraught,Brash,Confident,Confrontational,Energetic,Exciting,Fierce,Fiery,Hostile,Manic,Outrageous,Ramshackle,Rebellious,Rousing,Uncompromising,Urgent","Hardcore Punk,Punk/New Wave,Straight-Edge",Alto-2_Mixed_Voice_and_Falsetto_Hey_Jude_Paired_Speech_Group_0004.wav,Alto-2,"spoken-word, clean","gentle, clear, warm",0.042,train
MT0000763275,"Bleak,Brittle,Cerebral,Clinical,Cold,Detached,Gentle,Hypnotic,Irreverent,Literate,Refined,Restrained,Sophisticated,Sparse,Stylish,Wry","Alternative/Indie Rock,Indie Pop",Alto-1_Glissando_my_love_Paired_Speech_Group_0007.wav,Alto-1,"vibrato, breath control","clear, gentle, soft",0.91,train
MT0003041246,"Aggressive,Angry,Fiery,Hostile,Menacing,Paranoid,Stylish,Volatile","Alternative Metal,Heavy Metal,Post-Grunge",F4-RiverOfGold-Pop-抒情慢板22.wav,F4,"vibrato, legato","gentle, clear, breathy",0.112,train
MT0000852582,"Aggressive,Belligerent,Gloomy,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Death Metal,Heavy Metal",Alto-1_Mixed_Voice_and_Falsetto_let_it_go_Falsetto_Group_0011.wav,Alto-1,"vibrato, falsetto","gentle, clear, bright",0.085,train
MT0011908274,"Amiable/Good-Natured,Calm/Peaceful,Delicate,Dreamy,Earnest,Ethereal,Gentle,Innocent,Intimate,Laid-Back/Mellow,Light,Precious,Refined,Reflective,Reserved,Sentimental,Smooth,Soft/Quiet,Soothing,Warm","Christmas,Holidays,Soft Rock",Alto-2_Mixed_Voice_and_Falsetto_City_Of_Stars_Paired_Speech_Group_0002.wav,Alto-2,"Vibrato, Legato","Gentle, Clear, Breathy",0.967,train
MT0012028572,"Outrageous,Malevolent,Menacing,Tough,Hedonistic,Intense,Rebellious,Snide,Uncompromising,Reckless,Angry,Urgent,Confrontational,Swaggering,Fiery,Bitter,Provocative,Harsh,Dramatic,Fierce,Brash,Hostile,Tense/Anxious,Street-Smart",,Alto-2_Mixed_Voice_and_Falsetto_Dream_It_Possible_Falsetto_Group_0005.wav,Alto-2,"vibrato, head voice","gentle, bright",0.082,train
MT0003300388,"Bitter,Brooding,Dramatic,Earthy,Gloomy,Lush,Melancholy,Plaintive,Poignant,Reflective,Sad,Unsettling,Weary,Wistful,Yearning","Traditional Pop,Vocal Jazz",Tenor-1_Mixed_Voice_and_Falsetto_Shallow_Control_Group_0000.wav,Tenor-1,"vibrato, legato","warm, husky, textured",0.945,train
MT0010574326,"Celebratory,Cheerful,Earthy,Freewheeling,Fun,Happy,Lively,Playful,Rollicking,Rousing,Swaggering","Early R&B,New Orleans R&B,Rock & Roll",Alto-2_Glissando_Easy_On_Me_Control_Group_0003.wav,Alto-2,"vibrato, legato","warm, gentle, clear",0.235,train
MT0012259307,"Autumnal,Bittersweet,Brooding,Cathartic,Cerebral,Detached,Dramatic,Earnest,Gloomy,Intimate,Literate,Melancholy,Passionate,Poignant,Reflective,Somber,Sophisticated","Alternative/Indie Rock,College Rock,Contemporary Pop/Rock,New Romantic,New Wave,Punk/New Wave,Synth Pop",Alto-1_Breathy_once_up_a_dream_Breathy_Group_0003.wav,Alto-1,"vibrato, head voice, legato","gentle, airy, soft",0.358,train
MT0010620026,"Aggressive,Angry,Bleak,Brash,Confrontational,Fiery,Freewheeling,Hostile,Malevolent,Menacing,Ominous,Outraged,Provocative,Rebellious,Street-Smart,Swaggering,Thuggish",Underground Rap,Tenor-1_Mixed_Voice_and_Falsetto_I_Know_Places_Mixed_Voice_Group_0003.wav,Tenor-1,"vibrato, falsetto","warm, bright, smooth",0.125,train
MT0008511909,"Aggressive,Ambitious,Bleak,Bravado,Confident,Confrontational,Dramatic,Elaborate,Energetic,Fiery,Lively,Ominous,Reckless,Rousing,Street-Smart,Stylish,Tense/Anxious,Theatrical,Thuggish,Volatile","Gangsta Rap,Hardcore Rap",F1-FlyMeToTheMoon-ChildrenPop-欢乐02.wav,F1,"vibrato, head voice, lyrical","gentle, clear, bright",0.041,train
MT0004131058,"Earnest,Earthy,Freewheeling,Greasy,Gritty,Gutsy,Laid-Back/Mellow,Lazy,Passionate,Plaintive,Reflective,Sentimental,Spicy,Street-Smart,Stylish,Yearning","Early R&B,Modern Electric Blues,North American Traditions,Zydeco",Alto-1_Mixed_Voice_and_Falsetto_seasons_in_the_sun_Paired_Speech_Group_0015.wav,Alto-1,"vibrato, legato","warm, gentle, bright",0.215,train
MT0000042939,"Aggressive,Belligerent,Gloomy,Negative,Nervous/Jittery,Pulsing,Strong","Black Metal,Club/Dance,Heavy Metal",Tenor-1_Mixed_Voice_and_Falsetto_Love_Story_Mixed_Voice_Group_0001.wav,Tenor-1,"vibrato, melodic phrasing","warm, gentle, smooth",0.065,train
MT0006880936,"Bleak,Brooding,Detached,Gloomy,Ominous,Stylish","Alternative Pop/Rock,Alternative/Indie Rock,British Punk,Post-Punk,Punk,Punk/New Wave",Alto-2_Mixed_Voice_and_Falsetto_What_Are_Words_Mixed_Voice_Group_0000.wav,Alto-2,"vibrato, legato","gentle, clear, airy",0.267,train
MT0015471594,"Ambitious,Amiable/Good-Natured,Delicate,Detached,Earnest,Gentle,Innocent,Laid-Back/Mellow,Naive,Organic,Playful,Precious,Quirky,Romantic,Self-Conscious,Soothing,Spiritual,Sweet,Uplifting,Warm,Whimsical,Wistful","Alternative/Indie Rock,Chamber Pop,Indie Pop,Progressive Folk",MT0015471594_vocals.wav,Sufjan Stevens,"vibrato, smooth delivery","bright, clear, textured",0.933,train
MT0013795989,"Lively,Exuberant,Playful,Quirky,Fun,Rousing,Bright,Celebratory,Freewheeling,Street-Smart,Light,Swaggering,Joyous,Humorous,Exciting,Bravado,Irreverent,Witty",,Tenor-1_Mixed_Voice_and_Falsetto_Firework_Falsetto_Group_0011.wav,Tenor-1,"vibrato, falsetto","warm, gentle, clear",0.082,train
MT0004512063,"Aggressive,Belligerent,Boisterous,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Death Metal,Heavy Metal",Alto-2_Mixed_Voice_and_Falsetto_YOUTH_Mixed_Voice_Group_0001.wav,Alto-2,"breathy, legato","gentle, airy, soft",0.012,train
A024,"Relaxed,Romantic,Smooth,Sweet,Laid-Back/Mellow,Confident,Calm/Peaceful,Sensual,Hypnotic,Restrained",,A024_vocals.wav,Sade,"belting, falsetto, vibrato","powerful, raspy, bright",0.985,train
MT0003942985,"Brash,Bravado,Confrontational,Earnest,Greasy,Gritty,Lazy,Organic,Plaintive,Reflective,Street-Smart,Swaggering,Uncompromising","Acoustic Texas Blues,Country Blues,Regional Blues,Texas Blues",Alto-2_Breathy_Yesterday_Once_More_Control_Group_0004.wav,Alto-2,"vibrato, legato, controlled","gentle, clear, warm",0.215,train
MT0003594672,"Amiable/Good-Natured,Carefree,Cheerful,Earnest,Exuberant,Freewheeling,Fun,Happy,Playful,Whimsical","Bluegrass,Contemporary Bluegrass,Progressive Bluegrass",MT0003594672_vocals.wav,Nickel Creek,"falsetto, vibrato","clear, gentle, bright",0.215,train
MT0008806305,"Aggressive,Belligerent,Boisterous,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Death Metal,Grindcore,Heavy Metal,Scandinavian Metal",Alto-1_Mixed_Voice_and_Falsetto_Arriety's_song_Paired_Speech_Group_0008.wav,Alto-1,"soft, airy, legato","gentle, clear, breathy",0.012,train
MT0001934726,"Carefree,Earnest,Earthy,Freewheeling,Greasy,Laid-Back/Mellow,Lazy,Light,Messy,Organic,Playful,Refined,Relaxed,Reserved,Self-Conscious,Soothing,Sparse,Street-Smart,Swaggering,Warm,Weary","Blues Revival,Chicago Blues,Early R&B,Electric Blues,Electric Chicago Blues,Electric Harmonica Blues,Regional Blues",Alto-2_Breathy_Fly_Me_to_the_Moon_Paired_Speech_Group_0003.wav,Alto-2,"vibrato, legato","bright, gentle, clear",0.375,train
MT0008565530,"Aggressive,Belligerent,Boisterous,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Contemporary Pop/Rock,Hardcore Punk,Punk,Punk/New Wave",Tenor-1_Mixed_Voice_and_Falsetto_Young_and_Beautiful_Falsetto_Group_0003.wav,Tenor-1,"vibrato, falsetto","warm, gentle, bright",0.045,train
MT0001383277,"Aggressive,Brash,Bravado,Confrontational,Hostile,Hungry,Malevolent,Menacing,Nocturnal,Ominous,Provocative,Rebellious,Reckless,Street-Smart,Tense/Anxious,Thuggish,Volatile","East Coast Rap,Gangsta Rap,Hardcore Rap",MT0001383277_vocals.wav,50 Cent,"rhythmic flow, aggressive delivery","raspy, gritty, deep",0.995,train
MT0031917220,"Amiable/Good-Natured,Boisterous,Cheerful,Confident,Earnest,Earthy,Exuberant,Lively,Organic,Reverent,Sophisticated,Spiritual","Acappella,Gospel,Soul,Spirituals",Alto-1_Mixed_Voice_and_Falsetto_yesterday_once_more_Control_Group_0014.wav,Alto-1,"vibrato, legato","warm, gentle, clear",0.185,train
MT0006806145,"Aggressive,Brash,Confrontational,Fiery,Freewheeling,Hostile,Passionate,Rebellious,Uncompromising","Alternative Metal,Heavy Metal",F4-YouAreTheReason-Pop-抒情30.wav,F4,"vibrato, legato","warm, gentle, clear",0.015,train
MT0013236693,"Campy,Epic,Erotic,Flowing,Freewheeling,Fun,Humorous,Irreverent,Lively,Playful,Quirky,Rollicking,Romantic,Rousing,Sensual,Sprawling,Swaggering,Theatrical","Adult Contemporary,Album Rock,Arena Rock,Contemporary Pop/Rock,Hard Rock",Tenor-1_Mixed_Voice_and_Falsetto_Dark_Paradise_Paired_Speech_Group_0008.wav,Tenor-1,"vibrato, legato","gentle, clear",0.215,train
MT0015428521,"Amiable/Good-Natured,Bright,Carefree,Confident,Elegant,Energetic,Joyous,Lively,Playful,Rollicking,Rousing,Smooth,Sparkling,Spicy,Warm","Big Band,Dance Bands,Sweet Bands,Swing",Alto-2_Pharyngeal_What_Are_Words_Control_Group_0000.wav,Alto-2,"vibrato, breathy delivery","gentle, bright, clear",0.125,train
MT0007868583,"Bright,Celebratory,Cheerful,Confident,Freewheeling,Fun,Joyous,Laid-Back/Mellow,Lively,Rollicking,Rousing,Swaggering","Contemporary Pop/Rock,Soft Rock",Tenor-1_Vibrato_What_Was_I_Made_For？_Paired_Speech_Group_0007.wav,Tenor-1,"soft attack, breathy","warm, gentle, breathy",0.125,train
MT0028877759,"Bittersweet,Earthy,Nostalgic,Plaintive,Poignant,Reflective,Reverent,Rustic,Sentimental,Spiritual,Wistful,Yearning","Bluegrass,Bluegrass-Gospel,Close Harmony,Gospel,Traditional Bluegrass",F1-LetItGo-Musical-正常02.wav,F1,"vibrato, belting","bright, powerful, clear",0.215,train
MT0012600718,"Ambitious,Cerebral,Clinical,Complex,Confident,Eccentric,Elaborate,Indulgent,Intense,Intimate,Organic,Passionate,Provocative,Searching,Sophisticated,Uncompromising,Urgent","Avant-Garde Jazz,Modern Creative,Modern Free",Tenor-1_Mixed_Voice_and_Falsetto_Love_on_the_Brain_Mixed_Voice_Group_0007.wav,Tenor-1,"vibrato, belting, falsetto","husky, raw, powerful",0.112,train
MT0001277283,"Autumnal,Bitter,Bleak,Brooding,Eerie,Gloomy,Melancholy,Reflective,Somber,Visceral,Wistful","Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Grunge,Hard Rock,Heavy Metal",MT0001277283_vocals.wav,Alice in Chains,"Vibrato, Belting, Vocal Fry","Husky, Raw, Warm",0.933,train
MT0014844849,"Brash,Celebratory,Confident,Druggy,Hedonistic,Ominous,Reckless,Sleazy,Somber,Swaggering,Trippy,Volatile","Dirty South,Gangsta Rap,Hardcore Rap,Southern Rap",F4-Consequence-Pop-抒情05.wav,F4,"vibrato, soft delivery","gentle, soft, airy",0.085,train
MT0001084055,"Brash,Bravado,Confident,Confrontational,Dramatic,Earnest,Freewheeling,Gritty,Gutsy,Intense,Intimate,Passionate,Reflective,Reverent,Rustic,Self-Conscious,Spiritual,Stylish,Swaggering,Urgent,Weary,Yearning","Acoustic Blues,Blues Gospel,Piedmont Blues,Regional Blues",Alto-2_Vibrato_What_Are_Words_Control_Group_0001.wav,Alto-2,"vibrato, legato, clear diction","warm, gentle, clear",0.135,train
MT0008813307,"Bittersweet,Brooding,Literate,Melancholy,Plaintive,Reflective,Relaxed,Sad,Searching,Somber,Wistful,Yearning","Album Rock,Folk-Rock,Psychedelic/Garage,Singer/Songwriter",Alto-1_Vibrato_my_heart_will_go_on_Paired_Speech_Group_0003.wav,Alto-1,"vibrato, head voice","gentle, airy, thin",0.132,train
MT0028414490,"Agreeable,Ambitious,Bitter,Calm/Peaceful,Cheerful,Confident,Earnest,Poignant,Relaxed,Reverent,Slick,Spiritual,Urgent","Club/Dance,Contemporary Reggae,Reggae-Pop",MT0028414490_vocals.wav,Ziggy Marley,"falsetto, vibrato, rhythmic phrasing","husky, raw, warm",0.982,train
MT0010634279,"Atmospheric,Calm/Peaceful,Dreamy,Elegant,Ethereal,Gentle,Intimate,Laid-Back/Mellow,Light,Melancholy,Nocturnal,Refined,Relaxed,Reserved,Romantic,Sensual,Sentimental,Slick,Smooth,Soothing,Sophisticated,Sparkling","Adult Contemporary,Crossover Jazz,Instrumental Pop,Jazz-Pop,Smooth Jazz",F1-LetItGo-Musical-正常18.wav,F1,"belting, vibrato","bright, clear",0.215,train
MT0010552273,"Carefree,Cheerful,Energetic,Fun,Happy","Contemporary Pop/Rock,Euro-Pop,Swedish Pop/Rock",Alto-1_Mixed_Voice_and_Falsetto_seasons_in_the_sun_Paired_Speech_Group_0020.wav,Alto-1,"vibrato, legato","gentle, clear, soft",0.325,train
MT0010803094,"Bitter,Freewheeling,Gentle,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Nocturnal,Plaintive,Poignant,Reflective,Restrained,Sad,Searching,Weary","Swing,Torch Songs,Traditional Pop,Vocal Jazz",F1-Yellow-Rock-抒情04.wav,F1,"vibrato, head voice","gentle, airy, soft",0.172,train
MT0007508173,"Amiable/Good-Natured,Cheerful,Confident,Earnest,Energetic,Exciting,Fun,Intimate,Joyous,Literate,Reflective,Summery,Warm","Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock",Alto-1_Pharyngeal_who_says_Control_Group_0002.wav,Alto-1,"vibrato, chest mix, precise pitch","clear, gentle, bright",0.872,train
MT0002131125,"Aggressive,Belligerent,Boisterous,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Hardcore Punk,Punk/New Wave",Alto-1_Pharyngeal_beauty_and_the_beast_Pharyngeal_Group_0001.wav,Alto-1,"vibrato, legato, controlled","gentle, bright, airy",0.015,train
MT0000426880,"Celebratory,Detached,Dramatic,Energetic,Exciting,Gutsy,Joyous,Lively,Precious,Rousing,Slick,Stylish,Sugary,Theatrical,Urgent","Club/Dance,Euro-Dance",MT0000426880_vocals.wav,t.A.T.u.,"vibrato, clear phrasing","bright, gentle, clear",0.883,train
MT0013726148,"Brash,Bravado,Confrontational,Earnest,Greasy,Gritty,Lazy,Organic,Plaintive,Reflective,Street-Smart,Swaggering,Uncompromising","Acoustic Texas Blues,Country Blues,Regional Blues,Texas Blues",F1-TheShow-JazzPop-夸张06.wav,F1,"vibrato, belting","warm, bright",0.475,train
MT0005198745,"Agreeable,Dreamy,Meditative,Nostalgic,Quirky",Psychedelic/Garage,Tenor-1_Glissando_Stay_Control_Group_0004.wav,Tenor-1,"vibrato, legato","warm, gentle, breathy",0.933,train
MT0009321428,"Atmospheric,Bittersweet,Bleak,Brooding,Detached,Eerie,Intimate,Literate,Melancholy,Nocturnal,Poignant,Reflective,Somber,Wistful,Yearning","Alternative Pop/Rock,Alternative/Indie Rock,College Rock,Goth Rock,Post-Punk",Alto-2_Glissando_You_Raise_Me_Up_Glissando_Group_0002.wav,Alto-2,"vibrato, head voice","gentle, bright, clear",0.856,train
A019,"Playful,Cheerful,Fun,Energetic,Boisterous,Exuberant,Rousing,Sweet,Effervescent,Summery,Warm",,Alto-2_Mixed_Voice_and_Falsetto_Safe_and_Sound_Control_Group_0006.wav,Alto-2,"vibrato, falsetto, legato","gentle, clear, soft",0.115,train
MT0034203861,"Atmospheric,Calm/Peaceful,Delicate,Dreamy,Gentle,Hypnotic,Intimate,Laid-Back/Mellow,Light,Refined,Relaxed,Reserved,Smooth,Soothing,Sparse,Spiritual","Ambient,Healing,Meditation/Relaxation,Relaxation,Self-Help & Development,Spiritual,Spoken Word",F1-SomeoneLikeYou-Pop-正常12.wav,F1,"vibrato, belting","warm, bright, clear",0.85,train
MT0000875520,"Bravado,Celebratory,Energetic,Confident,Raucous,Lively,Sexy,Freewheeling,Fun,Playful,Swaggering,Bright,Brash,Exciting,Rousing",,Alto-2_Mixed_Voice_and_Falsetto_What_Are_Words_Mixed_Voice_Group_0001.wav,Alto-2,"Legato, Vibrato","Gentle, Breathy, Soft",0.125,train
MT0006771406,"Boisterous,Brassy,Celebratory,Dramatic,Energetic,Exuberant,Fiery,Fun,Intense,Passionate,Playful,Rousing,Sensual,Sexy,Spicy,Urgent,Yearning","Contemporary R&B,Dance-Pop,Urban",MT0006771406_vocals.wav,Beyoncï¿½,"belting, vibrato, rhythmic phrasing","bright, powerful, clear",0.975,train
MT0001509368,"Amiable/Good-Natured,Confrontational,Fiery,Playful,Provocative,Sleazy,Slick,Stylish,Swaggering,Visceral","Blues-Rock,British Metal,Hard Rock,Heavy Metal,Pop-Metal",Alto-1_Mixed_Voice_and_Falsetto_make_it_shine_Paired_Speech_Group_0006.wav,Alto-1,"straight-tone, clean articulation","gentle, clear, breathy",0.185,train
MT0028596249,"Atmospheric,Bright,Calm/Peaceful,Cathartic,Delicate,Dreamy,Elegant,Ethereal,Gentle,Intimate,Light,Refined,Relaxed,Reserved,Smooth,Soothing,Sparkling,Sparse,Spiritual","Ambient,Healing,Meditation/Relaxation,Relaxation,Self-Help & Development,Spiritual,Spoken Word",Tenor-1_Pharyngeal_What_Was_I_Made_For？_Control_Group_0001.wav,Tenor-1,"vibrato, falsetto","bright, gentle, clear",0.927,train
MT0000091401,"Rousing,Swaggering,Fun,Lively,Playful,Rollicking,Celebratory",,MT0000091401_vocals.wav,Carl Perkins,"belting, scatting, raspy tone","powerful, energetic, gritty",0.992,train
MT0026753827,"Earnest,Energetic,Fiery,Intimate,Joyous,Passionate,Reverent,Spiritual","Alternative CCM,CCM,Christian Rock,Contemporary Christian",F1-StJamesInfirmary-Jazz-力量51.wav,F1,"vibrato, legato","gentle, breathy, soft",0.235,train
MT0000174580,"Celebratory,Confident,Elegant,Fun,Lively,Lush,Romantic,Sensual,Sentimental,Sexual,Sexy,Stylish,Sweet,Warm","Adult Contemporary,Club/Dance,Contemporary R&B,Dance-Pop,Urban",Alto-2_Glissando_My_Love_Paired_Speech_Group_0001.wav,Alto-2,"subtle vibrato, clean phrasing","warm, gentle, breathy",0.433,train
MT0000119701,"Calm/Peaceful,Carefree,Confident,Dramatic,Dreamy,Earnest,Elegant,Gentle,Intimate,Poignant,Refined,Reflective,Relaxed,Romantic,Sentimental,Smooth,Soothing,Sophisticated,Stylish,Sweet,Warm","Tin Pan Alley Pop,Traditional Pop,Vocal Jazz,Vocal Pop",MT0000119701_vocals.wav,Bing Crosby,"vibrato, legato","warm, resonant, smooth",0.985,train
MT0017475710,"Aggressive,Angry,Brash,Bravado,Cathartic,Confident,Confrontational,Energetic,Fiery,Hostile,Irreverent,Knotty,Playful,Rebellious,Reckless,Rowdy,Street-Smart,Summery,Swaggering,Urgent,Volatile","Hardcore Punk,Heavy Metal,Punk Metal,Punk/New Wave,Skatepunk",Alto-2_Mixed_Voice_and_Falsetto_Call_Me_Maybe_Control_Group_0003.wav,Alto-2,"vibrato, pop phrasing","bright, clear, light",0.042,train
MT0011387901,"Aggressive,Angry,Angst-Ridden,Bitter,Boisterous,Brash,Cathartic,Confrontational,Cynical/Sarcastic,Energetic,Fierce,Fiery,Gutsy,Harsh,Hostile,Intense,Menacing,Organic,Outraged,Provocative,Raucous,Rebellious,Rousing,Suffocating,Tense/Anxious,Uncompromising,Urgent,Visceral,Volatile","Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Heavy Metal,Rap-Metal",Tenor-1_Breathy_Enchanted_Paired_Speech_Group_0005.wav,Tenor-1,"belting, projected voice","thin, nasal, bright",0.285,train
MT0005723257,"Anguished/Distraught,Confrontational,Earnest,Greasy,Intimate,Laid-Back/Mellow,Lazy,Reflective,Sentimental,Smooth,Sophisticated,Warm","Early R&B,Jump Blues,Piano Blues,Regional Blues,West Coast Blues",Tenor-1_Pharyngeal_All_I_Ask_Control_Group_0005.wav,Tenor-1,"Vibrato, Soulful Phrasing, Emotional Delivery","Warm, Soulful, Gritty",0.975,train
MT0033733581,"Calm/Peaceful,Dreamy,Pulsing,Sentimental,Serious,Strong,Swinging,Yearning","Dub,Singer/Songwriter",F4-Consequence-Pop-力量10.wav,F4,"vibrato, legato","warm, gentle",0.417,train
MT0027535695,"Amiable/Good-Natured,Bravado,Bright,Celebratory,Energetic,Innocent,Intimate,Light,Lively,Playful,Rollicking,Rousing,Sensual,Slick,Smooth,Stylish,Theatrical,Warm,Whimsical,Yearning",Country-Pop,Alto-1_Pharyngeal_monsters_Control_Group_0000.wav,Alto-1,"vibrato, legato","warm, gentle, clear",0.115,train
MT0031495046,"Atmospheric,Bright,Calm/Peaceful,Cerebral,Delicate,Dreamy,Elegant,Ethereal,Gentle,Hypnotic,Light,Relaxed,Soothing,Spacey,Sparkling,Spiritual","Ambient,Experimental Electronic,Healing,Space,Spiritual",F1-SomeoneLikeYou-Pop-正常16.wav,F1,"vibrato, falsetto, legato","warm, gentle, airy",0.925,train
MT0000103874,"Sparkling,Cheerful,Joyous,Bright,Rousing,Innocent,Rollicking,Amiable/Good-Natured,Happy,Romantic",,M2-CriesInADistance-Pop-夸张21.wav,M2,"vibrato, belting","bright, energetic, reedy",0.962,train
MT0013235939,"Amiable/Good-Natured,Earnest,Playful,Poignant,Romantic,Sentimental,Theatrical","Cast Recordings,Musicals,Show Tunes",F1-Yellow-Rock-抒情30.wav,F1,"head voice, gentle onset, vibrato","gentle, airy, soft",0.045,train
MT0014134790,"Cathartic,Dramatic,Elaborate,Elegant,Plaintive,Poignant,Provocative,Reverent,Searching,Spiritual,Street-Smart,Volatile,Yearning","East Coast Rap,Gangsta Rap,Hardcore Rap",F1-TheShow-JazzPop-夸张33.wav,F1,"vibrato, legato, gentle delivery","warm, gentle, breathy",0.865,train
MT0008790360,"Aggressive,Belligerent,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Death Metal,Grindcore,Heavy Metal,Scandinavian Metal",Alto-2_Mixed_Voice_and_Falsetto_Easy_On_Me_Paired_Speech_Group_0002.wav,Alto-2,"legato, breathy","gentle, clear, airy",0.025,train
MT0010585105,"Aggressive,Boisterous,Brash,Confident,Confrontational,Menacing,Raucous,Rebellious,Rowdy,Street-Smart","Dirty South,Gangsta Rap,Hardcore Rap,Southern Rap",F1-LetItGo-Opera-正常21.wav,F1,"vibrato, belting","bright, clear, powerful",0.115,train
MT0012398546,"Dramatic,Exciting,Intense,Menacing,Passionate,Rambunctious,Rousing,Uncompromising,Urgent","British Blues,British Invasion,Regional Blues",Tenor-1_Vibrato_Stay_Paired_Speech_Group_0004.wav,Tenor-1,"vibrato, sustained notes","warm, husky, gentle",0.315,train
MT0009996318,"Angst-Ridden,Bitter,Bleak,Brittle,Brooding,Dramatic,Elegant,Gloomy,Lush,Melancholy,Poignant,Refined,Sad,Searching,Soft/Quiet,Sophisticated,Stylish,Weary","Standards,Torch Songs,Traditional Pop,Vocal Jazz,Vocal Pop",F4-YouAreTheReason-Pop-抒情31.wav,F4,"Belting, Vibrato","Bright, Powerful, Clear",0.175,train
MT0013328261,"Earnest,Earthy,Freewheeling,Greasy,Laid-Back/Mellow,Lazy,Light,Messy,Organic,Refined,Relaxed,Reserved,Self-Conscious,Sparse,Street-Smart,Swaggering,Warm,Weary","Blues Revival,Early R&B,Electric Blues,Electric Chicago Blues,Electric Harmonica Blues,Regional Blues",Tenor-1_Glissando_Million_Reasons_Paired_Speech_Group_0006.wav,Tenor-1,"vibrato, belting","clear, bright, breathy",0.867,train
MT0002954708,"Aggressive,Belligerent,Lively,Marching,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Contemporary Pop/Rock,Heavy Metal,Rap-Metal",F4-Consequence-Pop-力量19.wav,F4,"vibrato, legato, head voice","bright, gentle, breathy",0.082,train
MT0000906888,"Detached,Earnest,Earthy,Gentle,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Poignant,Refined,Reflective,Relaxed,Reserved,Self-Conscious,Smooth,Soft/Quiet,Somber,Warm,Weary","Bakersfield Sound,Honky Tonk,Traditional Country",Alto-1_Mixed_Voice_and_Falsetto_la_vie_en_rose_Falsetto_Group_0002.wav,Alto-1,"vibrato, legato","gentle, soft, airy",0.235,train
MT0011308097,"Angst-Ridden,Bleak,Brooding,Gloomy,Intimate,Melancholy,Poignant,Reflective,Sad,Somber","Alternative Pop/Rock,Alternative/Indie Rock,Neo-Glam,Punk-Pop",Alto-1_Vibrato_memory_Paired_Speech_Group_0000.wav,Alto-1,"vibrato, legato","gentle, bright, clear",0.215,train
MT0013349760,"Detached,Dramatic,Elegant,Gentle,Intimate,Lush,Melancholy,Plaintive,Refined,Reflective,Reserved,Sad,Sentimental,Smooth,Somber,Sophisticated,Warm,Weary","Country-Pop,Nashville Sound/Countrypolitan",Alto-2_Mixed_Voice_and_Falsetto_Yesterday_Once_More_Falsetto_Group_0004.wav,Alto-2,"straight-tone, legato","bright, gentle, airy",0.138,train
MT0002366291,"Brash,Celebratory,Confident,Fun,Lively,Nocturnal,Playful,Provocative,Rousing,Sensual,Sexual,Sexy,Slick,Stylish","Adult Contemporary,Club/Dance,Contemporary Pop/Rock,Dance-Pop,Euro-Dance,Euro-Pop",MT0002366291_vocals.wav,Madonna,"vibrato, legato","warm, clear, gentle",0.35,train
MT0031855026,"Ambitious,Cerebral,Clinical,Complex,Confident,Eccentric,Elaborate,Indulgent,Intense,Intimate,Organic,Passionate,Provocative,Searching,Sophisticated,Uncompromising,Urgent","Avant-Garde Jazz,Modern Creative,Modern Free",Alto-1_Mixed_Voice_and_Falsetto_make_it_shine_Paired_Speech_Group_0004.wav,Alto-1,"vibrato, falsetto","warm, gentle, bright",0.867,train
MT0004028719,"Brooding,Confrontational,Eerie,Intense,Manic,Paranoid,Self-Conscious,Tense/Anxious","Old-School Rap,Party Rap",Alto-2_Pharyngeal_Young_And_Beautiful_Paired_Speech_Group_0003.wav,Alto-2,"vibrato, legato","gentle, soft, clear",0.045,train
